"","x"
"1","6 Ave & W 45 St"
"2","Hope St & Union Ave"
"3","West St & Chambers St"
"4","W 50 St & 10 Ave"
"5","Suffolk St & Stanton St"
"6","W 22 St & 8 Ave"
"7","Lenox Ave & W 126 St"
"8","W 35 St & 9 Ave"
"9","E 2 St & Avenue B"
"10","E 58 St & 1 Ave (NE Corner)"
"11","E 33 St & 1 Ave"
"12","E 67 St & Park Ave"
"13","Frederick Douglass Blvd & W 112 St"
"14","Pearl St & Peck Slip"
"15","W 51 St & 6 Ave"
"16","W 70 St & Amsterdam Ave"
"17","W 47 St & 10 Ave"
"18","E 82 St & East End Ave"
"19","W 15 St & 6 Ave"
"20","6 Ave & Broome St"
"21","Lafayette St & E 8 St"
"22","Howard St & Centre St"
"23","Amsterdam Ave & W 73 St"
"24","Myrtle Ave & Marcy Ave"
"25","Bank St & Hudson St"
"26","E 23 St & 1 Ave"
"27","Division St & Bowery"
"28","E 25 St & 2 Ave"
"29","Water - Whitehall Plaza"
"30","Johnson St & Gold St"
"31","DeKalb Ave & S Portland Ave"
"32","1 Ave & E 110 St"
"33","S 4 St & Wythe Ave"
"34","Lexington Ave & Classon Ave"
"35","E 72 St & York Ave"
"36","E 56 St & 3 Ave"
"37","Little West St & 1 Pl"
"38","E 5 St & Avenue C"
"39","Cedar St & Myrtle Ave"
"40","Pitt St & Stanton St"
"41","Center Blvd & 51 Ave"
"42","E 19 St & 3 Ave"
"43","Perry St & Bleecker St"
"44","Broadway & W 155 St"
"45","W 53 St & 10 Ave"
"46","E 74 St & 1 Ave"
"47","2 Ave & 36 St"
"48","Central Ave & Melrose St"
"49","Broadway & W 49 St"
"50","Canal St & Rutgers St"
"51","Vesey Pl & River Terrace"
"52","1 Ave & E 78 St"
"53","Hanson Pl & Ashland Pl"
"54","W 54 St & 11 Ave"
"55","E 89 St & 3 Ave"
"56","Frederick Douglass Blvd & W 115 St"
"57","E 33 St & 5 Ave"
"58","40 Ave & 9 St"
"59","Montrose Ave & Bushwick Ave"
"60","W 13 St & 7 Ave"
"61","Congress St & Clinton St"
"62","St Marks Pl & 2 Ave"
"63","W 82 St & Central Park West"
"64","28 Ave & 35 St"
"65","Central Park W & W 91 St"
"66","DeKalb Ave & Franklin Ave"
"67","E 20 St & FDR Drive"
"68","St Nicholas Ave & W 150 St"
"69","W 169 St & Fort Washington Ave"
"70","MacDougal St & Prince St"
"71","Melrose St & Broadway"
"72","Central Park S & 6 Ave"
"73","Grand St & Elizabeth St"
"74","Graham Ave & Withers St"
"75","River Ave & E 153 St"
"76","Spruce St & Nassau St"
"77","E 11 St & Avenue B"
